title,genre,rating
Kagami no Kojou,"['Anime', 'Bí ẩn', 'Giả tưởng', 'Drama']","['7.8', '57']"
Thám Tử Lừng Danh Conan: Câu Chuyện Về Haibara Ai Chuyến Tàu Sắt Bí Ẩn Màu Đen,"['Anime', 'Bí ẩn', 'Thám tử', 'Phiêu lưu']","['6.0', '34']"
Princess Principal: Crown Handler Movie,"['Anime', 'Hành động', 'Bí ẩn', 'Phiêu lưu']","['7.2', '23']"
Spy Kyoushitsu,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Bí ẩn']","['7.9', '163']"
Bungou Stray Dogs 4th Season,"['Hành động', 'Bí ẩn', 'Thám tử', 'Siêu năng lực', 'Siêu nhiên']","['8.5', '191']"
Mononogatari,"['Anime', 'Hành động', 'Bí ẩn', 'Siêu nhiên']","['8.0', '143']"
Kyokou Suiri Season 2,"['Anime', 'Tình cảm', 'Bí ẩn', 'Thám tử', 'Siêu nhiên']","['9.3', '239']"
Revenger,"['Anime', 'Bí ẩn', 'Lịch sử', 'Samurai']","['6.6', '67']"
Meitantei Conan: Hannin no Hanzawa-san,"['Anime', 'Hài hước', 'Bí ẩn', 'Shounen']","['4.1', '55']"
Long Tộc,"['Hành động', 'Hài hước', 'Bí ẩn', 'Giả tưởng', 'Học đường', 'Siêu năng lực', 'CN Animation']","['9.0', '427']"
Detective Conan Movie 25: Halloween no Hanayome,"['Anime', 'Hành động', 'Tình cảm', 'Bí ẩn', 'Phiêu lưu']","['9.7', '95']"
Yojouhan Time Machine Blues,"['Anime', 'Hài hước', 'Tình cảm', 'Bí ẩn', 'Siêu nhiên']","['3.2', '33']"
Fuuto Tantei,"['Anime', 'Hành động', 'Bí ẩn', 'Drama', 'Siêu nhiên']","['8.5', '224']"
Made in Abyss: Retsujitsu no Ougonkyou,"['Anime', 'Bí ẩn', 'Giả tưởng', 'Drama', 'Siêu nhiên']","['8.5', '195']"
Tomodachi Game,"['Anime', 'Bí ẩn', 'Trò chơi', 'Shounen', 'Psychological']","['9.2', '415']"
